inflow,rep,update,partner,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
100,11,26000,host,19765,126,1,8,6,0,2,0,0
100,11,26000,symbiont,0,0,0,0,0,0,0,0,0
100,11,27000,host,19756,117,3,8,3,4,1,0,0
100,11,27000,symbiont,0,0,0,0,0,0,0,0,0
100,11,28000,host,19754,127,1,6,3,1,6,0,0
100,11,28000,symbiont,0,0,0,0,0,0,0,0,0
100,11,29000,host,19855,109,1,4,2,0,2,0,0
100,11,29000,symbiont,0,0,0,0,0,0,0,0,0
100,11,30000,host,19850,129,6,2,2,4,0,0,0
100,11,30000,symbiont,0,0,0,0,0,0,0,0,0
100,11,31000,host,19821,122,4,5,2,2,1,0,0
100,11,31000,symbiont,0,0,0,0,0,0,0,0,0
100,11,32000,host,19770,122,1,6,5,2,3,0,0
100,11,32000,symbiont,0,0,0,0,0,0,0,0,0
100,11,33000,host,19796,123,4,4,4,2,3,0,0
100,11,33000,symbiont,0,0,0,0,0,0,0,0,0
100,11,34000,host,19712,122,2,8,6,8,2,0,0
100,11,34000,symbiont,0,0,0,0,0,0,0,0,0
100,11,35000,host,19730,119,4,8,8,3,1,0,0
100,11,35000,symbiont,0,0,0,0,0,0,0,0,0
100,11,36000,host,19795,127,0,6,2,1,5,0,0
100,11,36000,symbiont,0,0,0,0,0,0,0,0,0
100,11,37000,host,19737,134,4,3,5,5,2,0,0
100,11,37000,symbiont,0,0,0,0,0,0,0,0,0
100,11,38000,host,19744,124,5,7,6,0,4,0,0
100,11,38000,symbiont,0,0,0,0,0,0,0,0,0
100,11,39000,host,19769,120,4,9,2,3,1,0,0
100,11,39000,symbiont,0,0,0,0,0,0,0,0,0
100,11,40000,host,19690,126,4,12,8,2,1,1,0
100,11,40000,symbiont,0,0,0,0,0,0,0,0,0
100,11,41000,host,19742,129,3,9,4,3,4,0,0
100,11,41000,symbiont,0,0,0,0,0,0,0,0,0
100,11,42000,host,19798,133,1,6,6,3,0,0,0
100,11,42000,symbiont,0,0,0,0,0,0,0,0,0
100,11,43000,host,19770,121,1,7,3,2,5,0,0
100,11,43000,symbiont,0,0,0,0,0,0,0,0,0
100,11,44000,host,19725,126,3,6,6,2,4,0,0
100,11,44000,symbiont,0,0,0,0,0,0,0,0,0
100,11,45000,host,19649,117,0,10,5,10,2,0,0
100,11,45000,symbiont,0,0,0,0,0,0,0,0,0
100,11,46000,host,19728,129,3,5,5,3,3,0,0
100,11,46000,symbiont,0,0,0,0,0,0,0,0,0
100,11,47000,host,19764,115,1,9,4,5,1,0,0
100,11,47000,symbiont,0,0,0,0,0,0,0,0,0
100,11,48000,host,19740,122,5,7,5,3,4,0,0
100,11,48000,symbiont,0,0,0,0,0,0,0,0,0
100,11,49000,host,19845,122,1,9,1,2,2,0,0
100,11,49000,symbiont,0,0,0,0,0,0,0,0,0
100,11,50000,host,19761,121,1,7,8,2,3,0,0
100,11,50000,symbiont,0,0,0,0,0,0,0,0,0
100,12,0,host,0,0,0,0,0,0,0,0,0
100,12,0,symbiont,0,0,0,0,0,0,0,0,0
100,12,1000,host,22125,12,3,5,4,1,0,0,0
100,12,1000,symbiont,0,0,0,0,0,0,0,0,0
100,12,2000,host,20108,10,2,6,4,0,0,0,0
100,12,2000,symbiont,0,0,0,0,0,0,0,0,0
100,12,3000,host,20044,10,2,8,2,1,0,0,0
100,12,3000,symbiont,0,0,0,0,0,0,0,0,0
100,12,4000,host,20096,8,0,6,0,2,0,0,0
100,12,4000,symbiont,0,0,0,0,0,0,0,0,0
100,12,5000,host,20023,11,2,9,3,0,0,0,0
100,12,5000,symbiont,0,0,0,0,0,0,0,0,0
100,12,6000,host,20048,10,0,6,3,0,0,0,0
100,12,6000,symbiont,0,0,0,0,0,0,0,0,0
100,12,7000,host,20103,11,1,1,3,0,1,0,0
100,12,7000,symbiont,0,0,0,0,0,0,0,0,0
100,12,8000,host,19991,6,2,10,2,1,0,0,0
100,12,8000,symbiont,0,0,0,0,0,0,0,0,0
100,12,9000,host,19975,8,1,6,4,1,2,0,0
100,12,9000,symbiont,0,0,0,0,0,0,0,0,0
100,12,10000,host,19972,12,2,5,1,3,3,0,0
100,12,10000,symbiont,0,0,0,0,0,0,0,0,0
100,12,11000,host,19980,14,3,6,3,1,3,0,0
100,12,11000,symbiont,0,0,0,0,0,0,0,0,0
100,12,12000,host,20036,11,2,4,0,0,2,0,0
100,12,12000,symbiont,0,0,0,0,0,0,0,0,0
100,12,13000,host,20009,5,1,7,3,0,0,0,0
100,12,13000,symbiont,0,0,0,0,0,0,0,0,0
100,12,14000,host,19890,8,3,6,2,2,4,0,0
100,12,14000,symbiont,0,0,0,0,0,0,0,0,0
100,12,15000,host,20000,8,1,6,1,1,1,0,0
100,12,15000,symbiont,0,0,0,0,0,0,0,0,0
100,12,16000,host,19900,15,1,9,1,1,5,0,0
100,12,16000,symbiont,0,0,0,0,0,0,0,0,0
100,12,17000,host,19959,8,2,3,3,1,2,0,0
100,12,17000,symbiont,0,0,0,0,0,0,0,0,0
100,12,18000,host,19941,12,3,4,5,1,0,0,0
100,12,18000,symbiont,0,0,0,0,0,0,0,0,0
100,12,19000,host,19958,16,2,5,2,1,1,0,0
100,12,19000,symbiont,0,0,0,0,0,0,0,0,0
100,12,20000,host,19912,9,2,7,5,1,2,0,0
100,12,20000,symbiont,0,0,0,0,0,0,0,0,0
100,12,21000,host,19940,8,1,10,1,2,2,0,0
100,12,21000,symbiont,0,0,0,0,0,0,0,0,0
100,12,22000,host,19909,14,3,5,4,4,2,0,0
100,12,22000,symbiont,0,0,0,0,0,0,0,0,0
100,12,23000,host,19947,7,2,4,5,0,2,0,0
100,12,23000,symbiont,0,0,0,0,0,0,0,0,0
100,12,24000,host,19994,12,1,4,2,0,2,0,0
100,12,24000,symbiont,0,0,0,0,0,0,0,0,0
100,12,25000,host,19889,13,2,10,3,2,4,0,0
100,12,25000,symbiont,0,0,0,0,0,0,0,0,0
100,12,26000,host,19916,11,3,9,5,2,1,0,0
100,12,26000,symbiont,0,0,0,0,0,0,0,0,0
100,12,27000,host,19886,7,4,8,8,1,1,0,0
100,12,27000,symbiont,0,0,0,0,0,0,0,0,0
100,12,28000,host,19969,13,0,5,2,4,2,0,0
100,12,28000,symbiont,0,0,0,0,0,0,0,0,0
100,12,29000,host,19958,13,2,5,2,4,3,0,0
100,12,29000,symbiont,0,0,0,0,0,0,0,0,0
100,12,30000,host,19907,6,2,5,5,3,2,0,0
100,12,30000,symbiont,0,0,0,0,0,0,0,0,0
100,12,31000,host,19950,6,1,5,1,5,3,0,0
100,12,31000,symbiont,0,0,0,0,0,0,0,0,0
100,12,32000,host,19997,10,0,5,1,2,0,0,0
100,12,32000,symbiont,0,0,0,0,0,0,0,0,0
100,12,33000,host,19922,11,2,3,5,0,3,0,0
100,12,33000,symbiont,0,0,0,0,0,0,0,0,0
100,12,34000,host,19908,7,3,5,1,4,3,0,0
100,12,34000,symbiont,0,0,0,0,0,0,0,0,0
100,12,35000,host,19941,13,0,5,4,1,2,0,0
