vres,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,12,5000,host,0,0,0,2.47871e+06,1525,710,638,743,133,109,0,0
No symbiont,12,10000,host,0,0,0,2.47413e+06,1764,511,681,579,214,157,0,0
No symbiont,12,15000,host,0,0,0,2.17648e+06,4726,481,830,634,252,210,1,0
No symbiont,12,20000,host,0,0,0,1.80319e+06,6115,411,830,528,249,223,0,0
No symbiont,12,25000,host,0,0,0,1.59969e+06,6292,782,829,518,246,228,0,0
No symbiont,12,30000,host,0,0,0,1.47226e+06,6651,392,874,555,331,252,0,0
No symbiont,12,35000,host,0,0,0,1.40998e+06,9847,428,1030,685,318,299,1,0
No symbiont,12,40000,host,0,0,0,1.36579e+06,14243,476,1084,751,408,353,4,0
No symbiont,12,45000,host,0,0,0,1.3352e+06,16798,602,1179,893,456,396,2,0
No symbiont,12,50000,host,0,0,0,1.28614e+06,18778,634,1604,964,576,395,3,0
No symbiont,12,55000,host,0,0,0,1.2405e+06,20936,655,1506,1118,587,505,1,0
No symbiont,12,60000,host,0,0,0,1.20458e+06,22548,782,1843,1242,596,519,5,0
No symbiont,12,65000,host,0,0,0,1.15724e+06,21574,824,2422,2078,703,514,2,0
No symbiont,12,70000,host,0,0,0,1.14101e+06,23633,1098,2612,1569,808,554,5,0
No symbiont,12,75000,host,0,0,0,1.10856e+06,25532,1050,2660,1532,743,564,8,0
No symbiont,12,80000,host,0,0,0,1.0945e+06,24444,994,3460,1672,922,648,7,4
No symbiont,12,85000,host,0,0,0,1.07716e+06,24065,1112,3171,1659,910,675,6,1
No symbiont,12,90000,host,0,0,0,1.06209e+06,22158,1145,3261,1736,969,637,9,2
No symbiont,12,95000,host,0,0,0,1.05927e+06,23847,1198,3288,1819,1036,746,10,2
No symbiont,12,100000,host,0,0,0,1.10813e+06,27296,1362,3617,2058,1212,785,9,1
No symbiont,12,105000,host,0,0,0,1.11826e+06,31345,1586,3383,2213,1164,838,10,4
No symbiont,12,110000,host,0,0,0,1.08923e+06,34803,1629,3545,2306,1318,925,14,0
No symbiont,12,115000,host,0,0,0,1.06676e+06,44526,1757,5026,2392,1352,890,11,0
No symbiont,12,120000,host,0,0,0,1.07883e+06,48945,2167,8882,2545,1299,821,17,1
No symbiont,12,125000,host,0,0,0,1.09057e+06,65544,3168,8620,2803,1415,874,21,1
No symbiont,12,130000,host,0,0,0,1.08977e+06,74862,3995,7136,2835,1574,916,26,6
No symbiont,12,135000,host,0,0,0,1.07167e+06,103854,55148,10597,3107,1696,881,32,5
No symbiont,12,140000,host,0,0,0,838522,380481,360625,238654,4062,1724,662,158,11
No symbiont,12,145000,host,0,0,0,653673,564867,1.43086e+06,752477,9859,3284,579,245,17
No symbiont,12,150000,host,0,0,0,80481,103716,708966,533483,897,283,48,40,2
No symbiont,12,155000,host,0,0,0,9042,11048,108610,203670,93,66,10,2,0
No symbiont,12,160000,host,0,0,0,8009,10655,132025,180410,48,26,8,0,0
No symbiont,12,165000,host,0,0,0,14046,32309,27988,280580,176,62,11,11,0
No symbiont,12,170000,host,0,0,0,16131,42973,4805,301987,259,111,14,19,0
No symbiont,12,175000,host,0,0,0,11617,43537,4392,302801,245,122,7,19,0
No symbiont,12,180000,host,0,0,0,4437,27372,3662,306845,190,83,3,12,0
No symbiont,12,185000,host,0,0,0,19109,45440,1656,304097,271,116,17,13,1
No symbiont,12,190000,host,0,0,0,36411,74965,6015,293118,451,193,26,29,0
No symbiont,12,195000,host,0,0,0,12817,18818,43177,267410,165,65,11,10,0
No symbiont,12,200000,host,0,0,0,11462,15970,1372,309989,102,54,10,3,2
No symbiont,13,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,13,5000,host,0,0,0,2.47246e+06,1466,742,691,776,146,123,0,0
No symbiont,13,10000,host,0,0,0,2.46712e+06,3933,598,674,591,210,189,0,0
No symbiont,13,15000,host,0,0,0,2.15417e+06,4628,476,864,598,280,211,0,0
No symbiont,13,20000,host,0,0,0,1.79439e+06,9781,389,775,533,247,190,1,0
No symbiont,13,25000,host,0,0,0,1.63605e+06,16385,7425,836,553,275,248,1,0
No symbiont,13,30000,host,0,0,0,1.48278e+06,16027,8823,889,599,334,298,1,0
No symbiont,13,35000,host,0,0,0,1.44091e+06,15672,8907,1033,767,363,348,2,0
No symbiont,13,40000,host,0,0,0,1.36708e+06,21000,7550,1092,836,447,356,4,0
No symbiont,13,45000,host,0,0,0,1.31342e+06,22067,700,1196,890,442,362,4,1
No symbiont,13,50000,host,0,0,0,1.28252e+06,24653,1345,1338,950,494,393,6,0
No symbiont,13,55000,host,0,0,0,1.24713e+06,20172,1406,1718,1058,500,399,4,0
No symbiont,13,60000,host,0,0,0,1.21768e+06,24751,1424,1578,1073,580,439,7,0
No symbiont,13,65000,host,0,0,0,1.15112e+06,26625,1676,1422,1233,635,461,7,0
No symbiont,13,70000,host,0,0,0,1.15383e+06,32173,1640,1546,1344,690,474,8,0
No symbiont,13,75000,host,0,0,0,1.16644e+06,28113,1643,1611,1507,734,527,12,1
No symbiont,13,80000,host,0,0,0,1.14052e+06,30413,1372,1712,1524,762,618,8,1
No symbiont,13,85000,host,0,0,0,1.12398e+06,28965,1526,2541,1726,924,615,12,1
No symbiont,13,90000,host,0,0,0,1.14238e+06,34049,1232,3107,1836,1011,634,10,1
No symbiont,13,95000,host,0,0,0,1.14273e+06,42652,1360,3445,2083,1094,763,13,2
No symbiont,13,100000,host,0,0,0,1.12784e+06,47508,2315,4599,2128,1166,705,15,1
No symbiont,13,105000,host,0,0,0,1.11129e+06,58217,6047,5144,2190,1180,731,11,3
No symbiont,13,110000,host,0,0,0,1.0553e+06,61704,4964,4900,2086,1183,721,15,2
No symbiont,13,115000,host,0,0,0,1.02686e+06,67583,7730,4156,2188,1149,686,23,0
No symbiont,13,120000,host,0,0,0,1.02919e+06,73031,3960,4397,2259,1293,696,24,1
No symbiont,13,125000,host,0,0,0,1.039e+06,77967,4278,4513,2373,1342,758,18,1
No symbiont,13,130000,host,0,0,0,1.03105e+06,81069,4400,5405,2756,1454,917,20,1
No symbiont,13,135000,host,0,0,0,1.02311e+06,79205,4310,6638,2935,1473,855,11,3
No symbiont,13,140000,host,0,0,0,1.00541e+06,76052,4074,6660,2728,1427,936,26,5
No symbiont,13,145000,host,0,0,0,1.02235e+06,79020,3659,7805,2724,1555,903,18,4
No symbiont,13,150000,host,0,0,0,1.00651e+06,85045,3385,8472,2936,1615,909,20,2
No symbiont,13,155000,host,0,0,0,1.00836e+06,84986,4546,7568,3219,1658,862,21,9
No symbiont,13,160000,host,0,0,0,996142,90380,3713,7017,2937,1722,1089,31,5
No symbiont,13,165000,host,0,0,0,982853,98322,10181,7820,3215,1722,1653,32,7
No symbiont,13,170000,host,0,0,0,955402,114130,15052,7122,3233,1795,1205,36,5
No symbiont,13,175000,host,0,0,0,940993,126041,14114,7536,3459,1793,1289,53,2
No symbiont,13,180000,host,0,0,0,930557,147733,20618,8756,3463,1868,850,74,9
No symbiont,13,185000,host,0,0,0,898897,172339,28884,10213,3914,1897,751,41,3
No symbiont,13,190000,host,0,0,0,840573,197876,63090,11418,3679,2055,803,61,10
No symbiont,13,195000,host,0,0,0,467132,457390,2.28299e+06,192332,4564,2000,452,362,9
No symbiont,13,200000,host,0,0,0,259000,443911,2.01201e+06,890162,3532,1122,250,381,5
No symbiont,14,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,14,5000,host,0,0,0,2.4732e+06,1364,716,665,743,129,125,0,0
No symbiont,14,10000,host,0,0,0,2.46956e+06,2947,570,701,612,229,144,0,0
No symbiont,14,15000,host,0,0,0,2.17208e+06,5292,553,897,651,283,207,0,0
No symbiont,14,20000,host,0,0,0,1.85114e+06,7553,417,841,559,252,251,0,0
No symbiont,14,25000,host,0,0,0,1.64529e+06,8989,381,845,555,247,289,0,0
No symbiont,14,30000,host,0,0,0,1.4981e+06,8134,408,901,573,325,276,1,0
No symbiont,14,35000,host,0,0,0,1.39322e+06,9859,435,965,709,380,293,1,0
No symbiont,14,40000,host,0,0,0,1.31126e+06,14628,508,1118,796,427,336,3,0
No symbiont,14,45000,host,0,0,0,1.27424e+06,15173,543,1137,809,460,367,4,0
No symbiont,14,50000,host,0,0,0,1.23896e+06,12841,590,1244,907,559,449,3,0
No symbiont,14,55000,host,0,0,0,1.22549e+06,13040,682,1531,1099,590,519,0,0
No symbiont,14,60000,host,0,0,0,1.23274e+06,17316,860,1558,1424,649,527,4,0
No symbiont,14,65000,host,0,0,0,1.20669e+06,20733,951,1693,1263,707,577,3,1
No symbiont,14,70000,host,0,0,0,1.18617e+06,27368,982,2737,1545,811,622,8,0
No symbiont,14,75000,host,0,0,0,1.20711e+06,58357,1698,337243,2276,1054,743,22,1
No symbiont,14,80000,host,0,0,0,837728,130179,7391,1.47438e+06,5569,1362,781,53,4
No symbiont,14,85000,host,0,0,0,156316,28557,674,286124,1354,400,203,8,6
No symbiont,14,90000,host,0,0,0,131656,25124,472,291386,719,363,155,11,9
No symbiont,14,95000,host,0,0,0,137958,31577,552,289338,794,372,194,16,13
No symbiont,14,100000,host,0,0,0,133051,31127,526,290104,749,385,187,22,11
No symbiont,14,105000,host,0,0,0,134989,34591,622,289017,891,457,167,36,7
No symbiont,14,110000,host,0,0,0,154970,39853,601,284774,1350,443,184,29,13
No symbiont,14,115000,host,0,0,0,122276,20900,426,293351,691,350,149,12,9
No symbiont,14,120000,host,0,0,0,81020,13326,345,300053,547,291,177,17,12
No symbiont,14,125000,host,0,0,0,85425,18911,427,298809,589,307,156,14,3
No symbiont,14,130000,host,0,0,0,93437,20449,412,297196,596,343,184,25,15
No symbiont,14,135000,host,0,0,0,88320,20622,420,297828,604,332,182,24,9
No symbiont,14,140000,host,0,0,0,85481,16424,395,299125,520,285,177,19,10
No symbiont,14,145000,host,0,0,0,89455,12684,403,298380,795,323,173,21,11
No symbiont,14,150000,host,0,0,0,110153,14651,519,294658,1049,360,205,9,7
No symbiont,14,155000,host,0,0,0,106308,18333,473,295627,629,393,201,12,2
No symbiont,14,160000,host,0,0,0,78685,20368,426,299299,591,315,153,24,1
No symbiont,14,165000,host,0,0,0,67424,23964,460,300161,626,341,145,22,2
No symbiont,14,170000,host,0,0,0,66984,21824,467,300561,626,312,169,20,1
No symbiont,14,175000,host,0,0,0,66811,12493,391,301964,625,294,132,14,3
No symbiont,14,180000,host,0,0,0,74140,16497,454,300232,626,293,151,25,7
No symbiont,14,185000,host,0,0,0,88328,20517,1008,296812,751,401,200,27,4
No symbiont,14,190000,host,0,0,0,83860,15466,555,298766,746,386,167,20,5
No symbiont,14,195000,host,0,0,0,78596,15670,457,299691,625,404,165,15,4
No symbiont,14,200000,host,0,0,0,65457,8885,372,302831,522,284,175,17,6
No symbiont,15,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,15,5000,host,0,0,0,2.48006e+06,1207,739,663,744,145,87,0,0
No symbiont,15,10000,host,0,0,0,2.46943e+06,2592,535,823,585,196,152,0,0
No symbiont,15,15000,host,0,0,0,2.17646e+06,4377,537,1445,651,276,243,2,0
No symbiont,15,20000,host,0,0,0,1.81916e+06,6260,369,1184,540,258,215,0,0
No symbiont,15,25000,host,0,0,0,1.61873e+06,12563,410,1802,534,278,242,4,0
No symbiont,15,30000,host,0,0,0,1.50927e+06,15070,521,1008,656,319,303,1,0
No symbiont,15,35000,host,0,0,0,1.42066e+06,18635,789,984,686,384,335,1,0
No symbiont,15,40000,host,0,0,0,1.36228e+06,15970,839,1085,845,423,395,1,0
No symbiont,15,45000,host,0,0,0,1.32315e+06,18113,892,1234,924,506,437,5,0
No symbiont,15,50000,host,0,0,0,1.27001e+06,18116,648,1335,1078,506,461,3,0
No symbiont,15,55000,host,0,0,0,1.24038e+06,21678,749,2059,1040,545,428,2,1
No symbiont,15,60000,host,0,0,0,1.21957e+06,19887,813,1773,1157,586,497,6,0
No symbiont,15,65000,host,0,0,0,1.2088e+06,20847,896,1512,1361,686,490,6,0
No symbiont,15,70000,host,0,0,0,1.19171e+06,25190,999,1864,1590,804,551,10,0
No symbiont,15,75000,host,0,0,0,1.16884e+06,30320,1130,2499,1760,876,642,12,0
No symbiont,15,80000,host,0,0,0,1.1555e+06,32305,1296,2937,1904,1007,648,7,0
No symbiont,15,85000,host,0,0,0,1.16504e+06,40902,1358,2860,2036,1031,656,9,3
No symbiont,15,90000,host,0,0,0,1.13863e+06,41208,1363,2123,1958,1086,707,13,2
No symbiont,15,95000,host,0,0,0,1.10546e+06,44947,1508,2561,2035,1111,712,16,0
No symbiont,15,100000,host,0,0,0,1.11541e+06,48950,1718,2335,2253,1201,721,10,0
No symbiont,15,105000,host,0,0,0,1.10067e+06,44435,2094,2573,2439,1320,800,15,1
No symbiont,15,110000,host,0,0,0,1.06523e+06,47813,2427,2600,2411,1338,697,25,1
No symbiont,15,115000,host,0,0,0,1.06915e+06,46313,3437,2847,2607,1392,821,17,2
No symbiont,15,120000,host,0,0,0,1.07286e+06,53265,3999,3078,2797,1470,872,22,2
No symbiont,15,125000,host,0,0,0,1.09649e+06,60580,2865,3688,2642,1541,893,19,1
No symbiont,15,130000,host,0,0,0,1.07623e+06,65217,2276,21412,2885,1681,904,22,1
No symbiont,15,135000,host,0,0,0,1.02016e+06,68933,2196,63935,3074,1734,886,32,4
No symbiont,15,140000,host,0,0,0,917718,94825,2660,256066,3463,1927,1101,35,6
No symbiont,15,145000,host,0,0,0,820276,132667,3003,904174,4250,1486,1654,84,8
No symbiont,15,150000,host,0,0,0,950542,191111,10625,2.3156e+06,14103,1369,1042,134,8
No symbiont,15,155000,host,0,0,0,176325,28852,1367,621287,21158,264,184,31,5
No symbiont,15,160000,host,0,0,0,114746,20494,1580,273519,10897,259,129,21,3
No symbiont,15,165000,host,0,0,0,127011,18578,2017,285361,3882,336,142,10,6
No symbiont,15,170000,host,0,0,0,120857,16162,2073,292441,715,362,160,22,9
No symbiont,15,175000,host,0,0,0,74130,9023,384,302355,360,198,151,6,2
No symbiont,15,180000,host,0,0,0,57851,6834,168,305381,316,137,92,9,0
No symbiont,15,185000,host,0,0,0,77708,11979,616,301456,393,152,113,13,5
No symbiont,15,190000,host,0,0,0,65168,12278,1787,302061,327,146,75,13,7
No symbiont,15,195000,host,0,0,0,84543,10780,710,300344,457,203,124,4,1
No symbiont,15,200000,host,0,0,0,94280,7419,239,294062,3426,190,112,10,0
No symbiont,16,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,16,5000,host,0,0,0,2.47229e+06,1661,771,708,731,136,113,0,0
No symbiont,16,10000,host,0,0,0,2.46783e+06,3861,585,715,592,209,199,0,0
No symbiont,16,15000,host,0,0,0,2.15434e+06,3651,538,864,609,270,245,0,0
No symbiont,16,20000,host,0,0,0,1.80198e+06,4587,401,845,521,296,249,0,0
No symbiont,16,25000,host,0,0,0,1.61502e+06,6173,385,892,580,310,241,1,0
No symbiont,16,30000,host,0,0,0,1.49662e+06,9366,414,910,569,336,308,1,1
No symbiont,16,35000,host,0,0,0,1.4049e+06,12756,437,1020,671,339,294,1,0
No symbiont,16,40000,host,0,0,0,1.34321e+06,13860,509,1197,780,404,363,0,0
No symbiont,16,45000,host,0,0,0,1.31485e+06,16496,555,1339,835,417,414,4,0
No symbiont,16,50000,host,0,0,0,1.26851e+06,17145,640,2635,1019,515,418,2,0
No symbiont,16,55000,host,0,0,0,1.24751e+06,40415,1695,74869,1322,583,422,12,0
No symbiont,16,60000,host,0,0,0,1.18716e+06,145416,20457,306692,2778,885,615,58,1
No symbiont,16,65000,host,0,0,0,1.11367e+06,255184,56740,685310,7670,1890,711,82,11
No symbiont,16,70000,host,0,0,0,529184,122354,16589,354486,5078,1785,361,31,4
No symbiont,16,75000,host,0,0,0,368863,74860,18632,231110,1718,2009,256,25,3
No symbiont,16,80000,host,0,0,0,412435,77179,20565,224281,2621,575,299,18,4
No symbiont,16,85000,host,0,0,0,422324,68715,37431,204964,3672,605,305,20,8
No symbiont,16,90000,host,0,0,0,381198,65707,45830,197572,5823,748,341,15,4
No symbiont,16,95000,host,0,0,0,401569,69901,41338,190529,10099,601,383,27,5
