vert,rep,update,partner,donate_calls,donated,earned,steal_calls,stolen,mutualism,attempts_horiz,success_horiz,attempts_vert,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,12,45000,host,0,0,0,NA,NA,NA,NA,NA,NA,608939,1877,49,55,81,11,0,0,0
No symbiont,12,50000,host,0,0,0,NA,NA,NA,NA,NA,NA,600057,2636,58,83,97,16,5,0,0
No symbiont,12,55000,host,0,0,0,NA,NA,NA,NA,NA,NA,585741,2976,65,61,90,21,3,0,0
No symbiont,12,60000,host,0,0,0,NA,NA,NA,NA,NA,NA,578442,2612,50,65,106,10,1,0,0
No symbiont,12,65000,host,0,0,0,NA,NA,NA,NA,NA,NA,584794,2541,51,80,93,16,6,0,0
No symbiont,12,70000,host,0,0,0,NA,NA,NA,NA,NA,NA,593096,3833,82,94,90,22,6,0,0
No symbiont,12,75000,host,0,0,0,NA,NA,NA,NA,NA,NA,601936,5178,78,89,131,15,7,0,0
No symbiont,12,80000,host,0,0,0,NA,NA,NA,NA,NA,NA,606048,6586,82,129,137,22,7,0,0
No symbiont,12,85000,host,0,0,0,NA,NA,NA,NA,NA,NA,612752,8300,90,174,140,26,9,0,0
No symbiont,12,90000,host,0,0,0,NA,NA,NA,NA,NA,NA,607010,11111,86,278,161,44,6,0,0
No symbiont,12,95000,host,0,0,0,NA,NA,NA,NA,NA,NA,617883,10796,99,185,155,32,9,0,0
No symbiont,12,100000,host,0,0,0,NA,NA,NA,NA,NA,NA,624452,10579,117,172,169,42,11,0,0
No symbiont,12,105000,host,0,0,0,NA,NA,NA,NA,NA,NA,640061,12445,138,185,185,45,14,1,0
No symbiont,12,110000,host,0,0,0,NA,NA,NA,NA,NA,NA,662304,13824,148,177,221,57,12,1,0
No symbiont,12,115000,host,0,0,0,NA,NA,NA,NA,NA,NA,675301,13879,136,201,245,67,10,0,0
