partner vertical_transmission update squareNum completions
Host 0.2 60000 15129 1
Host 0.2 60000 19131876 1
Host 0.2 60000 34012224 1
Host 0.2 60000 107495424 1
Host 0.2 60000 5329 2
Host 0.2 60000 147456 2
Host 0.2 60000 1000000 2
Host 0.2 60000 9437184 1
Host 0.2 60000 2030043136 1
Host 0.2 60000 5625 2
Host 0.2 60000 4294443024 9
Host 0.2 60000 4489 1
Host 0.2 60000 6724 2
Host 0.2 60000 8836 1
Host 0.2 60000 10404 2
Host 0.2 60000 11236 1
Host 0.2 60000 13924 1
Host 0.2 60000 14884 1
Host 0.2 60000 20164 1
Host 0.2 60000 21316 1
Host 0.2 60000 65025 3
Host 0.2 60000 66564 1
Host 0.2 60000 99225 1
Host 0.2 60000 26214400 1
Host 0.2 60000 2147488281 2
Host 0.2 60000 4761 3
Host 0.2 60000 524176 1
Host 0.2 60000 28323684 1
Host 0.2 60000 1998715849 1
Host 0.2 60000 30625 1
Host 0.2 60000 5929 1
Host 0.2 60000 6561 1
Host 0.2 80000 4 332809
Host 0.2 80000 9 20459
Host 0.2 80000 16 28702
Host 0.2 80000 25 2902
Host 0.2 80000 36 1779
Host 0.2 80000 49 902
Host 0.2 80000 64 12496
Host 0.2 80000 81 446
Host 0.2 80000 100 409
Host 0.2 80000 121 270
Host 0.2 80000 144 300
Host 0.2 80000 169 194
Host 0.2 80000 196 178
Host 0.2 80000 225 150
Host 0.2 80000 256 4676
Host 0.2 80000 289 113
Host 0.2 80000 324 148
Host 0.2 80000 361 108
Host 0.2 80000 400 120
Host 0.2 80000 441 96
Host 0.2 80000 484 97
Host 0.2 80000 529 81
Host 0.2 80000 576 79
Host 0.2 80000 625 69
Host 0.2 80000 676 68
Host 0.2 80000 729 60
Host 0.2 80000 784 67
Host 0.2 80000 841 42
Host 0.2 80000 900 54
Host 0.2 80000 961 44
Host 0.2 80000 1024 3010
Host 0.2 80000 1089 46
Host 0.2 80000 1156 45
Host 0.2 80000 1225 47
Host 0.2 80000 1296 41
Host 0.2 80000 1369 30
Host 0.2 80000 1444 49
Host 0.2 80000 1521 31
Host 0.2 80000 1681 16
Host 0.2 80000 1764 27
Host 0.2 80000 1849 24
Host 0.2 80000 1936 24
Host 0.2 80000 2025 19
Host 0.2 80000 2116 22
Host 0.2 80000 2209 12
Host 0.2 80000 2304 22
Host 0.2 80000 2401 13
Host 0.2 80000 2809 13
Host 0.2 80000 3025 12
Host 0.2 80000 3136 11
Host 0.2 80000 3481 6
Host 0.2 80000 3844 9
Host 0.2 80000 3969 7
Host 0.2 80000 4096 2858
Host 0.2 80000 4356 11
Host 0.2 80000 4489 6
Host 0.2 80000 4624 5
Host 0.2 80000 4761 5
Host 0.2 80000 4900 8
Host 0.2 80000 5184 6
Host 0.2 80000 5476 9
Host 0.2 80000 5776 5
Host 0.2 80000 6561 2
Host 0.2 80000 8464 2
Host 0.2 80000 16384 12180
Host 0.2 80000 26569 1
Host 0.2 80000 31329 1
Host 0.2 80000 31684 1
Host 0.2 80000 32400 2
Host 0.2 80000 32761 33
Host 0.2 80000 33124 2
Host 0.2 80000 65536 4007
Host 0.2 80000 160000 4
Host 0.2 80000 262144 1108
Host 0.2 80000 1048576 996
Host 0.2 80000 4194304 945
Host 0.2 80000 6553600 2
Host 0.2 80000 16777216 911
Host 0.2 80000 67108864 1252
Host 0.2 80000 67125249 23
Host 0.2 80000 268435456 8883
Host 0.2 80000 1073741824 368748
Host 0.2 80000 2415919104 110
Host 0.2 80000 4294705156 112
Host 0.2 80000 4294836225 297
Host 0.2 80000 1600 35
Host 0.2 80000 2500 14
Host 0.2 80000 2704 15
Host 0.2 80000 2916 13
Host 0.2 80000 3249 5
Host 0.2 80000 3364 9
Host 0.2 80000 3600 9
Host 0.2 80000 3721 6
Host 0.2 80000 5041 4
Host 0.2 80000 5329 6
Host 0.2 80000 5625 2
Host 0.2 80000 5929 3
Host 0.2 80000 6400 4
Host 0.2 80000 8649 3
Host 0.2 80000 33856 1
Host 0.2 80000 41783296 1
Host 0.2 80000 150994944 2
Host 0.2 80000 167133184 1
Host 0.2 80000 339738624 1
Host 0.2 80000 419430400 1
Host 0.2 80000 603979776 11
Host 0.2 80000 822083584 1
Host 0.2 80000 1073676289 92
Host 0.2 80000 1677721600 4
Host 0.2 80000 2595291136 1
Host 0.2 80000 2674130944 1
Host 0.2 80000 2760871936 1
Host 0.2 80000 2835349504 1
Host 0.2 80000 3288334336 2
Host 0.2 80000 3527409664 1
Host 0.2 80000 3774873600 2
Host 0.2 80000 2601 16
Host 0.2 80000 34596 1
Host 0.2 80000 6724 3
Host 0.2 80000 4225 3
Host 0.2 80000 16129 3
Host 0.2 80000 1040400 3
Host 0.2 80000 6084 3
Host 0.2 80000 11664 1
Host 0.2 80000 51984 1
Host 0.2 80000 11449 2
Host 0.2 80000 7056 2
Host 0.2 80000 7396 1
Host 0.2 80000 7744 1
Host 0.2 80000 2359296 1
Host 0.2 80000 9216 1
Host 0.2 80000 2070721 1
Host 0.2 80000 9437184 1
Host 0.2 80000 7921 1
Host 0.2 80000 41616 1
Host 0.2 80000 34225 1
Host 0.2 80000 1072693504 1
Host 0.2 80000 1719926784 1
Host 0.2 80000 2030043136 1
Host 0.2 80000 2147024896 1
Host 0.2 80000 374544 1
Host 0.2 80000 10816 2
Host 0.2 80000 6889 1
Host 0.2 80000 8836 1
Host 0.2 80000 9025 1
Host 0.2 80000 10404 1
Host 0.2 80000 11025 1
Host 0.2 80000 11236 1
Host 0.2 80000 16641 1
Host 0.2 80000 22500 1
Host 0.2 80000 34969 1
Host 0.2 80000 44944 1
Host 0.2 80000 48841 1
Host 0.2 80000 52900 1
Host 0.2 80000 55696 1
Host 0.2 80000 57600 1
Host 0.2 80000 72361 1
