vert,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,12,115000,host,0,0,0,1.00449e+06,52865,2154,3553,2319,1298,827,16,1
No symbiont,12,120000,host,0,0,0,1.00051e+06,54724,2254,3675,2434,1380,773,30,1
No symbiont,12,125000,host,0,0,0,1.00903e+06,59864,2214,4013,2502,1396,761,29,0
No symbiont,12,130000,host,0,0,0,1.04337e+06,63632,2394,4955,2570,1412,772,27,1
No symbiont,12,135000,host,0,0,0,1.04196e+06,69023,2134,5308,2729,1474,789,39,1
No symbiont,12,140000,host,0,0,0,1.01996e+06,79038,2005,10103,2902,1625,790,38,1
No symbiont,12,145000,host,0,0,0,1.02526e+06,86263,2147,26164,3033,1669,883,59,8
No symbiont,12,150000,host,0,0,0,1.01847e+06,102909,2657,31366,3307,1704,912,43,6
No symbiont,12,155000,host,0,0,0,983118,111631,2748,40972,3471,1779,868,51,15
No symbiont,12,160000,host,0,0,0,1.03646e+06,188655,5596,1.67822e+06,6788,2158,1060,78,18
No symbiont,12,165000,host,0,0,0,474798,125655,68977,2.68617e+06,8837,1052,816,97,8
No symbiont,12,170000,host,0,0,0,29754,14028,130,308441,213,129,87,8,0
No symbiont,12,175000,host,0,0,0,32652,18409,189,306051,877,149,81,11,9
No symbiont,12,180000,host,0,0,0,27213,21869,197,305851,1134,133,65,39,3
No symbiont,12,185000,host,0,0,0,27939,30588,226,306017,370,147,55,46,4
No symbiont,12,190000,host,0,0,0,28150,35201,253,305228,438,154,73,36,2
No symbiont,12,195000,host,0,0,0,21710,30260,179,307265,289,155,39,21,5
No symbiont,12,200000,host,0,0,0,26979,35355,14084,291267,575,179,52,40,4
No symbiont,13,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,13,5000,host,0,0,0,2.48378e+06,1210,741,719,707,145,110,0,0
No symbiont,13,10000,host,0,0,0,2.47092e+06,4046,556,714,603,232,169,0,0
No symbiont,13,15000,host,0,0,0,2.1615e+06,6574,475,890,554,253,230,0,0
No symbiont,13,20000,host,0,0,0,1.81382e+06,4188,388,821,505,234,212,0,0
No symbiont,13,25000,host,0,0,0,1.63147e+06,6938,362,851,573,252,235,0,0
No symbiont,13,30000,host,0,0,0,1.47918e+06,8361,354,868,596,273,305,3,0
No symbiont,13,35000,host,0,0,0,1.41543e+06,10993,406,1133,709,334,315,1,0
No symbiont,13,40000,host,0,0,0,1.35469e+06,12600,500,1088,777,359,349,1,0
No symbiont,13,45000,host,0,0,0,1.32172e+06,13068,576,1165,903,414,356,1,0
No symbiont,13,50000,host,0,0,0,1.2789e+06,17898,649,1245,1042,490,396,2,0
No symbiont,13,55000,host,0,0,0,1.2566e+06,19589,701,2019,1107,577,464,5,0
No symbiont,13,60000,host,0,0,0,1.20041e+06,20346,733,1941,1087,640,463,6,0
No symbiont,13,65000,host,0,0,0,1.14756e+06,23320,839,2156,1296,667,480,7,2
No symbiont,13,70000,host,0,0,0,1.14544e+06,28775,891,2580,1320,652,538,12,0
No symbiont,13,75000,host,0,0,0,1.15107e+06,32446,1011,2394,1417,784,550,12,0
